State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land,county_fips,area,climate_reg_recs
04,00107,0400107,G04000107,04,00115,0400115,G04000115,Arizona,Phoenix City (Northwest Central),25,25,146150,105221,45067,30.84,42.83,140319,101757,44822,31.94,44.05,120699890,55882990,32429564,26.87,58.03,013,56805879.20941445,Hot-Dry & Mixed Dry
04,00107,0400107,G04000107,04,00116,0400116,G04000116,Arizona,Phoenix City (Uptown),25,25,146150,108575,6877,4.71,6.33,140319,100212,6419,4.57,6.41,120699890,44501692,2623110,2.17,5.89,013,44624122.59965941,Hot-Dry & Mixed Dry
04,00108,0400108,G04000108,04,00125,0400125,G04000125,Arizona,Phoenix City (West),25,25,116247,103937,0,0,0,113505,101932,0,0,0,67153515,41243856,847,0,0,013,41485123.31838471,Hot-Dry & Mixed Dry
04,00108,0400108,G04000108,04,00126,0400126,G04000126,Arizona,Maricopa County--Glendale City (North),25,25,116247,125084,116247,100,92.94,113505,121841,113505,100,93.16,67153515,82662285,67151742,100,81.24,013,83244114.14580937,Hot-Dry & Mixed Dry
04,00108,0400108,G04000108,04,00127,0400127,G04000127,Arizona,Maricopa County--Peoria City (South & Central),25,25,116247,98835,0,0,0,113505,113447,0,0,0,67153515,72501058,927,0,0,013,73774820.82232702,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00123,0400123,G04000123,Arizona,Phoenix City--Maryvale (West),25,25,120787,94858,0,0,0,171054,108404,0,0,0,201454268,41622563,5620,0,0.01,013,41649476.60952246,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00124,0400124,G04000124,Arizona,Maricopa County--Glendale City (South),25,25,120787,90208,90208,74.68,100,171054,100367,100367,58.68,100,201454268,65963508,65958116,32.74,99.99,013,67441548.48673302,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00126,0400126,G04000126,Arizona,Maricopa County--Glendale City (North),25,25,120787,125084,5391,4.46,4.31,171054,121841,5212,3.05,4.28,201454268,82662285,2571504,1.28,3.11,013,83244114.14580937,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00127,0400127,G04000127,Arizona,Maricopa County--Peoria City (South & Central),25,25,120787,98835,3084,2.55,3.12,171054,113447,3285,1.92,2.9,201454268,72501058,2591849,1.29,3.57,013,73774820.82232702,Hot-Dry & Mixed Dry
04,00109,0400109,G04000109,04,00130,0400130,G04000130,Arizona,Maricopa County--El Mirage City & Sun City,25,25,120787,87327,7609,6.3,8.71,171054,116222,29812,17.43,25.65,201454268,108749703,21891447,10.87,20.13,013,114794975.6577208,Hot-Dry & Mixed Dry
