State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
AL,1,17,3,A,Mixed-Humid,Chambers
AL,1,19,3,A,Mixed-Humid,Cherokee
AL,1,21,3,A,Mixed-Humid,Chilton
AL,1,23,3,A,Hot-Humid,Choctaw
AL,1,25,3,A,Hot-Humid,Clarke
AL,1,27,3,A,Mixed-Humid,Clay
AL,1,29,3,A,Mixed-Humid,Cleburne
AL,1,31,3,A,Hot-Humid,Coffee
AL,1,33,3,A,Mixed-Humid,Colbert
AL,1,35,3,A,Hot-Humid,Conecuh
AL,1,37,3,A,Mixed-Humid,Coosa
AL,1,39,3,A,Hot-Humid,Covington
AL,1,41,3,A,Hot-Humid,Crenshaw
AL,1,43,3,A,Mixed-Humid,Cullman
AL,1,45,3,A,Hot-Humid,Dale
AL,1,47,3,A,Hot-Humid,Dallas
AL,1,49,3,A,Mixed-Humid,DeKalb
AL,1,51,3,A,Hot-Humid,Elmore
AL,1,53,3,A,Hot-Humid,Escambia
AL,1,55,3,A,Mixed-Humid,Etowah
AL,1,57,3,A,Mixed-Humid,Fayette
AL,1,59,3,A,Mixed-Humid,Franklin
AL,1,61,3,A,Hot-Humid,Geneva
AL,1,63,3,A,Mixed-Humid,Greene
AL,1,65,3,A,Mixed-Humid,Hale
AL,1,67,3,A,Hot-Humid,Henry
AL,1,69,3,A,Hot-Humid,Houston
AL,1,71,3,A,Mixed-Humid,Jackson
AL,1,73,3,A,Mixed-Humid,Jefferson
AL,1,75,3,A,Mixed-Humid,Lamar
AL,1,77,3,A,Mixed-Humid,Lauderdale
AL,1,79,3,A,Mixed-Humid,Lawrence
AL,1,81,3,A,Mixed-Humid,Lee
AL,1,83,3,A,Mixed-Humid,Limestone
AL,1,85,3,A,Hot-Humid,Lowndes
AL,1,87,3,A,Hot-Humid,Macon
AL,1,89,3,A,Mixed-Humid,Madison
AL,1,91,3,A,Hot-Humid,Marengo
AL,1,93,3,A,Mixed-Humid,Marion
AL,1,95,3,A,Mixed-Humid,Marshall
AL,1,97,2,A,Hot-Humid,Mobile
AL,1,99,3,A,Hot-Humid,Monroe
AL,1,101,3,A,Hot-Humid,Montgomery
AL,1,103,3,A,Mixed-Humid,Morgan
AL,1,105,3,A,Hot-Humid,Perry
AL,1,107,3,A,Mixed-Humid,Pickens
AL,1,109,3,A,Hot-Humid,Pike
AL,1,111,3,A,Mixed-Humid,Randolph
AL,1,113,3,A,Hot-Humid,Russell
AL,1,117,3,A,Mixed-Humid,Shelby
AL,1,115,3,A,Mixed-Humid,St. Clair
AL,1,119,3,A,Mixed-Humid,Sumter
AL,1,121,3,A,Mixed-Humid,Talladega
AL,1,123,3,A,Mixed-Humid,Tallapoosa
AL,1,125,3,A,Mixed-Humid,Tuscaloosa
AL,1,127,3,A,Mixed-Humid,Walker
AL,1,129,3,A,Hot-Humid,Washington
AL,1,131,3,A,Hot-Humid,Wilcox
AL,1,133,3,A,Mixed-Humid,Winston
AR,5,1,3,A,Mixed-Humid,Arkansas
AR,5,3,3,A,Mixed-Humid,Ashley
AR,5,5,4,A,Mixed-Humid,Baxter
AR,5,7,4,A,Mixed-Humid,Benton
AR,5,9,4,A,Mixed-Humid,Boone
AR,5,11,3,A,Mixed-Humid,Bradley
AR,5,13,3,A,Mixed-Humid,Calhoun
AR,5,15,4,A,Mixed-Humid,Carroll
AR,5,17,3,A,Mixed-Humid,Chicot
AR,5,19,3,A,Mixed-Humid,Clark
AR,5,21,3,A,Mixed-Humid,Clay
AR,5,23,3,A,Mixed-Humid,Cleburne
AR,5,25,3,A,Mixed-Humid,Cleveland
AR,5,27,3,A,Hot-Humid,Columbia
AR,5,29,3,A,Mixed-Humid,Conway
AR,5,31,3,A,Mixed-Humid,Craighead
AR,5,33,3,A,Mixed-Humid,Crawford
AR,5,35,3,A,Mixed-Humid,Crittenden
AR,5,37,3,A,Mixed-Humid,Cross
AR,5,39,3,A,Mixed-Humid,Dallas
AR,5,41,3,A,Mixed-Humid,Desha
AR,5,43,3,A,Mixed-Humid,Drew
AR,5,45,3,A,Mixed-Humid,Faulkner
AR,5,47,3,A,Mixed-Humid,Franklin
AR,5,49,4,A,Mixed-Humid,Fulton
AR,5,51,3,A,Mixed-Humid,Garland
AR,5,53,3,A,Mixed-Humid,Grant
AR,5,55,3,A,Mixed-Humid,Greene
AR,5,57,3,A,Mixed-Humid,Hempstead
AR,5,59,3,A,Mixed-Humid,Hot Spring
AR,5,61,3,A,Mixed-Humid,Howard
AR,5,63,3,A,Mixed-Humid,Independence
AR,5,65,4,A,Mixed-Humid,Izard
AR,5,67,3,A,Mixed-Humid,Jackson
AR,5,69,3,A,Mixed-Humid,Jefferson
AR,5,71,3,A,Mixed-Humid,Johnson
AR,5,73,3,A,Hot-Humid,Lafayette
AR,5,75,3,A,Mixed-Humid,Lawrence
AR,5,77,3,A,Mixed-Humid,Lee
AR,5,79,3,A,Mixed-Humid,Lincoln
AR,5,81,3,A,Hot-Humid,Little River
AR,5,83,3,A,Mixed-Humid,Logan
AR,5,85,3,A,Mixed-Humid,Lonoke
AR,5,87,4,A,Mixed-Humid,Madison
AR,5,89,4,A,Mixed-Humid,Marion
AR,5,91,3,A,Hot-Humid,Miller
AR,5,93,3,A,Mixed-Humid,Mississippi
AR,5,95,3,A,Mixed-Humid,Monroe
AR,5,97,3,A,Mixed-Humid,Montgomery
AR,5,99,3,A,Mixed-Humid,Nevada
AR,5,101,4,A,Mixed-Humid,Newton
AR,5,103,3,A,Mixed-Humid,Ouachita
AR,5,105,3,A,Mixed-Humid,Perry
AR,5,107,3,A,Mixed-Humid,Phillips
AR,5,109,3,A,Mixed-Humid,Pike
AR,5,111,3,A,Mixed-Humid,Poinsett
AR,5,113,3,A,Mixed-Humid,Polk
AR,5,115,3,A,Mixed-Humid,Pope
AR,5,117,3,A,Mixed-Humid,Prairie
AR,5,119,3,A,Mixed-Humid,Pulaski
AR,5,121,3,A,Mixed-Humid,Randolph
AR,5,125,3,A,Mixed-Humid,Saline
AR,5,127,3,A,Mixed-Humid,Scott
AR,5,129,4,A,Mixed-Humid,Searcy
AR,5,131,3,A,Mixed-Humid,Sebastian
AR,5,133,3,A,Mixed-Humid,Sevier
AR,5,135,3,A,Mixed-Humid,Sharp
AR,5,123,3,A,Mixed-Humid,St. Francis
AR,5,137,4,A,Mixed-Humid,Stone
AR,5,139,3,A,Hot-Humid,Union
AR,5,141,3,A,Mixed-Humid,Van Buren
AR,5,143,4,A,Mixed-Humid,Washington
AR,5,145,3,A,Mixed-Humid,White
AR,5,147,3,A,Mixed-Humid,Woodruff
AR,5,149,3,A,Mixed-Humid,Yell
AS,60,10,1,A,Hot-Humid,Eastern District
AS,60,20,1,A,Hot-Humid,Manu'a District
AS,60,30,1,A,Hot-Humid,Rose Island
AS,60,40,1,A,Hot-Humid,Swains Island
AS,60,50,1,A,Hot-Humid,Western District
AZ,4,1,5,B,Cold,Apache
AZ,4,3,3,B,Hot-Dry,Cochise
AZ,4,5,5,B,Cold,Coconino
AZ,4,7,4,B,Mixed-Dry,Gila
AZ,4,9,3,B,Hot-Dry,Graham
AZ,4,11,3,B,Hot-Dry,Greenlee
AZ,4,12,2,B,Hot-Dry,La Paz
AZ,4,13,2,B,Hot-Dry,Maricopa
AZ,4,15,3,B,Hot-Dry,Mohave
AZ,4,17,5,B,Cold,Navajo
